index,country,year,gdp_for_year,gdp_per_capita,agg_population
132,Albania,2000,"3,632,043,908",1299,2796300
144,Albania,2001,"4,060,758,804",1451,2799349
156,Albania,2002,"4,435,078,648",1573,2818839
168,Albania,2003,"5,746,945,913",2021,2843929
180,Albania,2004,"7,314,865,176",2544,2874991
192,Albania,2005,"8,158,548,717",2931,2783320
204,Albania,2006,"8,992,642,349",3235,2780176
216,Albania,2007,"10,701,011,897",3863,2770344
228,Albania,2008,"12,881,352,688",4672,2757059
240,Albania,2009,"12,044,212,904",4387,2745735
252,Albania,2010,"11,926,953,259",4359,2736025
420,Antigua and Barbuda,2000,"830,158,778",11021,75326
432,Antigua and Barbuda,2001,"800,740,259",10468,76497
444,Antigua and Barbuda,2002,"814,615,333",10499,77588
456,Antigua and Barbuda,2003,"855,643,111",10878,78658
468,Antigua and Barbuda,2004,"919,577,148",11535,79722
480,Antigua and Barbuda,2005,"1,022,191,296",12649,80809
492,Antigua and Barbuda,2006,"1,157,005,444",14114,81973
504,Antigua and Barbuda,2007,"1,311,401,333",15775,83131
516,Antigua and Barbuda,2008,"1,368,431,037",16238,84273
528,Antigua and Barbuda,2009,"1,224,253,000",14335,85405
540,Antigua and Barbuda,2012,"1,211,411,704",13657,88703
552,Antigua and Barbuda,2013,"1,192,925,407",13287,89779
564,Antigua and Barbuda,2014,"1,280,133,333",14093,90837
576,Antigua and Barbuda,2015,"1,364,863,037",14853,91889
768,Argentina,2000,"284,203,750,000",8462,33585533
780,Argentina,2001,"268,696,750,000",7900,34010946
792,Argentina,2002,"97,724,004,252",2840,34407507
804,Argentina,2003,"127,586,973,492",3668,34785907
816,Argentina,2004,"164,657,930,453",4683,35162945
828,Argentina,2005,"198,737,095,012",5590,35550617
840,Argentina,2006,"232,557,260,817",6475,35918886
852,Argentina,2007,"287,530,508,431",7918,36315492
864,Argentina,2008,"361,558,037,110",9843,36733520
876,Argentina,2009,"332,976,484,578",8961,37158001
888,Argentina,2010,"423,627,422,092",11273,37578454
900,Argentina,2011,"530,163,281,575",13946,38015739
912,Argentina,2012,"545,982,375,701",14203,38441778
924,Argentina,2013,"552,025,140,252",14206,38859125
936,Argentina,2014,"526,319,673,732",13400,39276555
948,Argentina,2015,"594,749,285,413",14981,39699624
1080,Armenia,2000,"1,911,563,665",530,3606500
1092,Armenia,2001,"2,118,467,913",587,3610516
1104,Armenia,2002,"2,376,335,048",788,3014844
1116,Armenia,2003,"2,807,061,009",928,3024366
1128,Armenia,2006,"6,384,451,606",2310,2764396
1140,Armenia,2007,"9,206,301,700",3366,2735313
1152,Armenia,2008,"11,662,040,714",3829,3045391
1164,Armenia,2009,"8,647,936,748",3215,2689695
1176,Armenia,2010,"9,260,284,938",3460,2676225
1188,Armenia,2011,"10,142,111,334",3798,2670366
1200,Armenia,2012,"10,619,320,049",3773,2814300
1212,Armenia,2013,"11,121,465,767",3957,2810664
1224,Armenia,2014,"11,609,512,940",4142,2803029
1236,Armenia,2015,"10,553,337,673",3775,2795335
1282,Aruba,2000,"1,873,452,514",22333,83888
1294,Aruba,2001,"1,920,262,570",22317,86045
1306,Aruba,2002,"1,941,094,972",21987,88284
1318,Aruba,2003,"2,021,301,676",22345,90457
1330,Aruba,2004,"2,228,279,330",24133,92335
1342,Aruba,2005,"2,331,005,587",24870,93728
1354,Aruba,2006,"2,421,474,860",25622,94508
1366,Aruba,2007,"2,623,726,257",27672,94814
1378,Aruba,2008,"2,791,960,894",29447,94814
1390,Aruba,2009,"2,498,932,961",26361,94795
1402,Aruba,2010,"2,467,703,911",25974,95006
1414,Aruba,2011,"2,584,463,687",27066,95488
1606,Australia,2000,"415,034,227,218",23219,17874410
1618,Australia,2001,"378,215,090,694",20860,18130883
1630,Australia,2002,"394,486,709,920",21474,18370058
1642,Australia,2003,"466,294,700,058",25059,18608029
1654,Australia,2004,"611,904,253,806",32454,18854551
1666,Australia,2006,"745,521,862,833",39014,19109246
1678,Australia,2007,"851,962,785,585",43171,19734430
1690,Australia,2008,"1,052,584,601,611",52315,20120312
1702,Australia,2009,"926,448,240,318",45128,20529317
1714,Australia,2010,"1,144,260,547,873",54887,20847547
1726,Australia,2011,"1,394,280,784,778",66770,20881910
1738,Australia,2012,"1,543,411,012,580",72669,21238909
1750,Australia,2013,"1,573,696,522,007",72856,21600180
1762,Australia,2014,"1,464,955,475,994",66809,21927587
1774,Australia,2015,"1,349,034,029,453",60656,22240785
1966,Austria,2000,"196,799,778,883",25922,7592073
1978,Austria,2001,"197,337,879,195",25848,7634560
1990,Austria,2002,"213,377,771,504",27772,7683162
2002,Austria,2003,"261,695,778,781",33889,7722033
2014,Austria,2004,"300,904,221,505",38711,7773105
2026,Austria,2005,"315,974,418,605",40367,7827461
2038,Austria,2006,"335,998,557,270",42698,7869269
2050,Austria,2007,"388,691,445,387",49218,7897272
2062,Austria,2008,"430,294,287,388",54294,7925258
2074,Austria,2009,"400,172,297,861",50356,7946894
2086,Austria,2010,"391,892,746,545",49181,7968421
2098,Austria,2011,"431,120,310,089",53923,7995146
2110,Austria,2012,"409,425,234,155",50979,8031276
2122,Austria,2013,"430,068,712,972",53229,8079615
2134,Austria,2014,"441,885,415,806",54278,8141165
2146,Austria,2015,"382,065,930,308",46484,8219386
2288,Azerbaijan,2000,"5,272,617,196",711,7415250
2300,Azerbaijan,2001,"5,707,720,391",759,7518000
2312,Azerbaijan,2002,"6,235,795,104",820,7605700
2324,Azerbaijan,2003,"7,276,013,032",948,7674400
2336,Azerbaijan,2004,"8,680,472,169",1122,7738250
2348,Azerbaijan,2007,"33,050,343,783",4172,7921100
2468,Bahamas,2000,"8,076,470,000",29942,269738
2480,Bahamas,2001,"8,317,830,000",30122,276140
2492,Bahamas,2002,"8,881,160,000",31432,282555
2504,Bahamas,2003,"8,870,090,000",30704,288888
2516,Bahamas,2004,"9,055,290,000",30671,295237
2528,Bahamas,2005,"9,836,200,000",32596,301763
2540,Bahamas,2006,"10,167,250,000",32957,308499
2552,Bahamas,2007,"10,618,340,000",33710,314989
2564,Bahamas,2008,"10,526,000,000",32746,321447
2576,Bahamas,2009,"9,981,960,000",30450,327813
2588,Bahamas,2010,"10,095,760,000",30239,333869
2600,Bahamas,2011,"10,070,450,000",29761,338383
2612,Bahamas,2012,"10,720,500,000",31204,343558
2624,Bahamas,2013,"10,627,600,000",30455,348959
2708,Bahrain,2000,"9,062,906,915",15345,590594
2720,Bahrain,2001,"8,976,207,713",14383,624083
2732,Bahrain,2002,"9,632,155,053",14572,661010
2744,Bahrain,2003,"11,074,822,074",15756,702913
2756,Bahrain,2004,"13,150,166,755",17497,751559
2768,Bahrain,2005,"15,968,726,862",19485,819540
2780,Bahrain,2006,"18,505,053,191",20826,888543
2792,Bahrain,2007,"21,730,000,000",22524,964770
2804,Bahrain,2008,"25,710,877,660",25106,1024110
2816,Bahrain,2009,"22,938,218,085",20988,1092922
2828,Bahrain,2010,"25,713,271,277",22572,1139160
2840,Bahrain,2011,"28,776,595,745",26078,1103462
2852,Bahrain,2012,"30,749,308,511",25587,1201778
2864,Bahrain,2013,"32,539,547,872",26793,1214492
2876,Bahrain,2014,"33,387,712,766",27503,1213966
3020,Barbados,2000,"3,121,500,000",12430,251133
3032,Barbados,2001,"3,116,650,000",12348,252406
3044,Barbados,2002,"3,169,600,000",12511,253353
3056,Barbados,2003,"3,274,850,000",12887,254122
3068,Barbados,2004,"3,514,350,000",13786,254925
3080,Barbados,2005,"3,897,300,000",15230,255889
3092,Barbados,2006,"4,246,600,000",16531,256883
3104,Barbados,2007,"4,523,750,000",17528,258083
3116,Barbados,2008,"4,607,300,000",17760,259414
3128,Barbados,2009,"4,434,050,000",17007,260718
3140,Barbados,2010,"4,461,650,000",17034,261927
3152,Barbados,2011,"4,660,900,000",17708,263203
3164,Barbados,2012,"4,656,350,000",17620,264270
3176,Barbados,2013,"4,612,500,000",17395,265165
3308,Belarus,2000,"12,736,856,828",1335,9543479
3320,Belarus,2001,"12,354,820,144",1299,9513587
3332,Belarus,2002,"14,594,249,023",1541,9469234
3344,Belarus,2003,"17,827,791,321",1892,9420691
3356,Belarus,2007,"45,277,399,814",4898,9244456
3368,Belarus,2008,"60,763,483,146",6601,9205746
3380,Belarus,2009,"49,209,523,810",5366,9169969
3392,Belarus,2010,"57,222,490,769",6371,8981193
3404,Belarus,2011,"61,757,788,945",6902,8947320
3416,Belarus,2013,"75,527,984,234",8477,8910240
3428,Belarus,2014,"78,813,839,984",8849,8906977
3620,Belgium,2000,"237,904,919,845",24592,9674025
3632,Belgium,2001,"237,841,968,680",24494,9710055
3644,Belgium,2002,"258,860,436,665",26526,9758570
3656,Belgium,2003,"319,002,821,670",32538,9804122
3668,Belgium,2004,"370,885,026,074",37661,9848022
3680,Belgium,2005,"387,365,750,529",39124,9901014
3692,Belgium,2006,"409,813,197,842",41135,9962702
3704,Belgium,2007,"471,821,105,940",47040,10030266
3716,Belgium,2008,"518,625,897,173",51345,10100850
3728,Belgium,2009,"484,552,792,442",47630,10173366
3740,Belgium,2010,"483,548,031,197",47355,10211171
3752,Belgium,2011,"527,008,453,887",50893,10355126
3764,Belgium,2012,"497,884,216,569",47678,10442637
3776,Belgium,2013,"520,925,468,953",49489,10526149
3788,Belgium,2014,"530,770,977,634",50173,10578848
3800,Belgium,2015,"455,039,563,133",42830,10624356
3956,Belize,2000,"832,072,450",3960,210109
3968,Belize,2001,"871,860,600",4013,217279
3980,Belize,2002,"932,551,850",4161,224136
3992,Belize,2003,"990,374,050",4289,230890
4004,Belize,2004,"1,057,845,500",4449,237791
4016,Belize,2005,"1,114,222,550",4547,245020
4028,Belize,2006,"1,217,467,600",4815,252826
4040,Belize,2007,"1,290,573,400",4951,260667
