country,total suicide
Albania,956
Antigua and Barbuda,9
Argentina,48927
Armenia,937
Aruba,84
Australia,36380
Austria,21718
Azerbaijan,763
Bahamas,63
Bahrain,412
Barbados,34
Belarus,29867
Belgium,32083
Belize,273
Bosnia and Herzegovina,318
Brazil,144389
Bulgaria,14726
Cabo Verde,42
Canada,52448
Chile,28885
Colombia,35387
Costa Rica,4291
Croatia,12852
Cuba,24096
Cyprus,375
Czech Republic,24498
Denmark,10140
Ecuador,13190
El Salvador,7031
Estonia,4428
Fiji,304
Finland,15867
France,154742
Georgia,1714
Germany,164279
Greece,6642
Grenada,18
Guatemala,5603
Guyana,2449
Hungary,40237
Iceland,596
Ireland,7267
Israel,6293
Italy,64169
Jamaica,153
Japan,460105
Kazakhstan,61468
Kiribati,0
Kuwait,699
Kyrgyzstan,7719
Latvia,8336
Lithuania,19066
Luxembourg,944
Maldives,20
Malta,401
Mauritius,1765
Mexico,75542
Montenegro,472
Netherlands,25561
New Zealand,7105
Nicaragua,2013
Norway,8596
Oman,33
Panama,2554
Paraguay,3611
Philippines,17397
Poland,95232
Portugal,12200
Puerto Rico,4308
Qatar,506
Republic of Korea,194847
Romania,41690
Russian Federation,649026
Saint Lucia,120
Saint Vincent and Grenadines,83
San Marino,2
Serbia,21148
Seychelles,86
Singapore,5354
Slovakia,7810
Slovenia,7649
South Africa,6615
Spain,55002
Sri Lanka,22706
Suriname,1573
Sweden,18696
Switzerland,19358
Thailand,61465
Trinidad and Tobago,1847
Turkey,10131
Turkmenistan,4806
Ukraine,156200
United Arab Emirates,622
United Kingdom,68815
United States,575514
Uruguay,8333
Uzbekistan,19680
