country,year,sex,age,suicides_no,suicides/100k pop,generation
Albania,2000,male,25-34 years,17,7.33,Generation X
Albania,2000,male,55-74 years,10,5.64,Silent
Albania,2000,female,75+ years,2,5.29,G.I. Generation
Albania,2000,male,75+ years,1,4.02,G.I. Generation
Albania,2000,female,15-24 years,6,2.27,Generation X
Albania,2000,male,15-24 years,5,2.08,Generation X
Albania,2000,female,35-54 years,5,1.51,Boomers
Albania,2000,female,25-34 years,3,1.22,Generation X
Albania,2000,male,35-54 years,4,1.07,Boomers
Albania,2000,male,5-14 years,1,0.27,Millenials
Albania,2000,female,5-14 years,0,0.0,Millenials
Albania,2000,female,55-74 years,0,0.0,Silent
Albania,2001,male,25-34 years,22,10.65,Generation X
Albania,2001,male,35-54 years,34,8.98,Boomers
Albania,2001,male,55-74 years,11,5.59,Silent
Albania,2001,female,75+ years,2,4.23,Silent
Albania,2001,male,15-24 years,10,3.91,Millenials
Albania,2001,female,15-24 years,9,3.32,Millenials
Albania,2001,female,35-54 years,12,3.24,Boomers
Albania,2001,male,75+ years,1,3.22,Silent
Albania,2001,female,55-74 years,6,3.16,Silent
Albania,2001,male,5-14 years,6,1.87,Millenials
Albania,2001,female,25-34 years,4,1.8,Generation X
Albania,2001,female,5-14 years,2,0.65,Millenials
Albania,2002,male,75+ years,4,12.9,Silent
Albania,2002,male,25-34 years,23,11.15,Generation X
Albania,2002,male,35-54 years,35,9.16,Boomers
Albania,2002,male,55-74 years,13,6.56,Silent
Albania,2002,male,15-24 years,15,5.7,Millenials
Albania,2002,female,15-24 years,14,5.07,Millenials
Albania,2002,female,35-54 years,15,4.0,Boomers
Albania,2002,female,25-34 years,7,3.13,Generation X
Albania,2002,female,75+ years,1,2.11,Silent
Albania,2002,female,55-74 years,4,2.09,Silent
Albania,2002,female,5-14 years,1,0.33,Millenials
Albania,2002,male,5-14 years,1,0.31,Millenials
Albania,2003,female,75+ years,6,12.22,Silent
Albania,2003,male,55-74 years,16,7.94,Silent
Albania,2003,male,35-54 years,28,7.25,Boomers
Albania,2003,male,15-24 years,15,5.49,Millenials
Albania,2003,female,15-24 years,14,4.93,Millenials
Albania,2003,female,55-74 years,9,4.6,Silent
Albania,2003,male,25-34 years,9,4.38,Generation X
Albania,2003,female,25-34 years,9,4.04,Generation X
Albania,2003,female,35-54 years,13,3.41,Boomers
Albania,2003,male,75+ years,1,3.06,Silent
Albania,2003,male,5-14 years,4,1.28,Millenials
Albania,2003,female,5-14 years,0,0.0,Millenials
Albania,2004,male,75+ years,4,11.26,Silent
Albania,2004,male,35-54 years,39,9.95,Boomers
Albania,2004,male,25-34 years,16,7.85,Generation X
Albania,2004,female,15-24 years,20,6.84,Millenials
Albania,2004,male,15-24 years,19,6.63,Millenials
Albania,2004,female,75+ years,3,5.89,Silent
Albania,2004,female,25-34 years,11,4.95,Generation X
Albania,2004,male,55-74 years,10,4.83,Silent
